Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire
2561;18;AA;FII;C078.3194.01;NON;;Compte;Numéro de compte, clé;
2561;18;AA;FII;C088.3433.01;NON;;Etablissement;Code établissement;
2561;18;AA;FII;C088.3434.01;NON;;Agence;Code guichet;
2561;18;AB;CCI;C889.7111.01;NON;TNC;Valeur;Nature du compte ou du contrat;
2561;18;AC;CCI;C889.7111.01;NON;TTC;Valeur;Type du compte;
2561;18;AD;CCI;C889.7111.01;NON;TBE;Valeur;Code bénéficiaire;
2561;18;AE;NAD;C080.3036.01;NON;;Designation;Nom du bénéficiaire (personne physique);
2561;18;AE;NAD;C080.3036.02;NON;;DesignationSuite1;Prénoms (ordre état civil);
2561;18;AE;NAD;C080.3036.03;NON;;DesignationSuite2;Nom d’usage;
2561;18;AE;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Libellé commune de naissance;Cas particulier d'un bénéficiaire né hors de France : indiquer le libellé du pays de naissance
2561;18;AE;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Commune de naissance – code INSEE;Voir https://www.insee.fr/fr/information/2666684, Cas particulier d'un bénéficiaire né hors de France : indiquer le code officiel INSEE du pays
2561;18;AF;NAD;C080.3036.01;NON;;Designation;Raison sociale (désignation de l INSEE);
2561;18;AF;NAD;C080.3036.02;NON;;DesignationSuite1;Raison sociale suite (désignation de l INSEE);
2561;18;AF;NAD;C082.3039.01;NON;;Identifiant;Numéro de Siret du bénéficiaire;
2561;18;AG;NAD;0000.3164.01;NON;;AdresseVille;Adresse 4 (2ème partie) – bureau distributeur;Cas particulier d'une adresse étrangère : indiquer le nom du pays étranger ou le nom de la commune pour la COM
2561;18;AG;NAD;0000.3251.01;NON;;AdresseCodePostal;Adresse 4 (1ère partie) – code postal;Cas particuliers : 99138 pour Monaco, 99130 pour Andorre, code officiel géographique (COG) du pays ou de la COM. A titre exceptionnel, il aura la valeur par défaut 99999 pour le pays étranger ou 98999 pour la COM uniquement lorsque le tiers déclarant est dans l'impossibilité absolue de déterminer la COG réel
2561;18;AG;NAD;C059.3042.01;NON;;AdresseNumero, AdresseType, AdresseVoie;Adresse 2 – n° voie , B, T, Q, C , nom de la voie;
2561;18;AG;NAD;C059.3042.02;NON;;AdresseComplement;Adresse 1 – complément d’adresse;
2561;18;AG;NAD;C819.3228.01;NON;;AdresseDivisionTerritoriale;Adresse 3 (2ème partie) – libellé commune;Cas particulier d'une adresse étrangère : indiquer soit le nom de la commune étrangère ou dans la COM, soit le code postal à l'étranger suivi de la commune
2561;18;AG;NAD;C819.3229.01;NON;;AdresseCodeDivisionTerritoriale;Adresse 3 (1ère partie) – code INSEE;Voir https://www.insee.fr/fr/information/2666684, cas particulier d'une adresse étrangère : indiquer le code officiel INSEE du pays
2561;18;AH;DTM;C507.2380.01;NON;102;Valeur;Date de naissance du bénéficiaire;Format attendu : yyyyMMdd
2561;18;AJ;CCI;C889.7111.01;NON;TSE;Valeur;Sexe;
2561;18;AK;FTX;C108.4440.01;NON;;TexteLibre1;Profession;
2561;18;AL;RFF;C506.1154.01;NON;;Valeur;Code catégorie juridique du bénéficiaire;
2561;18;AM;RFF;C506.1154.01;NON;;Valeur;Numéro de contrat;
2561;18;AN;DTM;C507.2380.01;NON;106;Valeur;Début de la période de référence;Format attendu : MMdd
2561;18;AP;DTM;C507.2380.01;NON;106;Valeur;Fin de la période de référence;Format attendu : MMdd
2561;18;BA;MOA;C516.5004.01;NON;;Valeur;Crédit d impôt non restituable;
2561;18;BB;MOA;C516.5004.01;NON;;Valeur;Crédit d impôt restituable;
2561;18;BC;MOA;C516.5004.01;NON;;Valeur;Crédit d impôt prélèvement;
2561;18;BD;MOA;C516.5004.01;NON;;Valeur;Produits de contrats d assurance-vie et placements de même nature d une durée inférieure à huit ans;
2561;18;BE;MOA;C516.5004.01;NON;;Valeur;Avances, prêts ou acomptes;
2561;18;BF;MOA;C516.5004.01;NON;;Valeur;Distributions non éligibles à l’abattement de 40 %;
2561;18;BG;MOA;C516.5004.01;NON;;Valeur;Dont Valeurs étrangères (pour mémoire);
2561;18;BH;MOA;C516.5004.01;NON;;Valeur;Jetons de présence;
2561;18;BJ;MOA;C516.5004.01;NON;;Valeur;Revenus distribués éligibles à l’abattement de 40%;
